"■資産合計欄"
"","時価評価額[円]","前日比[円]","前日比[％]","前月比[円]","前月比[％]","評価損益[円]","評価損益[％]","","実現損益[円]","配当・分配金[円貨]","配当・分配金[外貨]"
"資産合計","9,243,499","+137,057","+1.51","+271,967","+3.03","+4,072,401","-","","-","18,137","1.31"

"保有商品の評価額合計","9,243,290","+137,056","+1.51","+271,967","+3.03","+4,072,401","-","","","",""
"国内株式","1,441,600","-64,000","-4.25","+19,600","+1.38","+885,200","-","","-","14,032",""
"米国株式","511,087","+39,184","+8.30","+90,495","+21.52","+109,606","-","","-","0","1.31"
"中国株式","0","0","0.00","0","0.00","0","-","","-","0",""
"アセアン株式","0","0","0.00","0","0.00","0","-","","-","",""
"投資信託","7,290,603","+161,872","+2.27","+161,872","+2.27","+3,077,595","-","","-","4,105",""
"楽天・マネーファンド","0","0","0.00","0","0.00","-","-","","-","",""
"外貨建MMF","0","0","0.00","0","0.00","0","-","","-","",""
"国内債券","0","0","0.00","0","0.00","0","-","","-","",""
"外国債券","0","0","0.00","0","0.00","0","-","","-","",""
"金・プラチナ","0","0","0.00","0","0.00","0","-","","-"

"預り金合計","209","+1","+0.48","0","0.00","-","-","","","",""
"預り金","0","0","0.00","0","0.00","-","-","","","",""
"外貨預り金","209","+1","+0.48","0","0.00","-","-","","","",""

"楽天銀行普通預金残高","未取得"


"■ 保有商品詳細 (すべて）"

"種別","銘柄コード・ティッカー","銘柄","口座","保有数量","［単位］","平均取得価額","［単位］","現在値","［単位］","現在値(更新日)","(参考為替)","前日比","［単位］","時価評価額[円]","時価評価額[外貨]","評価損益[円]","評価損益[％]"
"国内株式","9984","ソフトバンクグループ","特定","400","株","1,391.00","円","3,604.0","円","","","-160.0","円","1,441,600","-","+885,200","+159.09"
"米国株式","MRVL","マーベル・テクノロジー・グループ","特定","30","株","85.2946","USD","106.7100","USD","","","0.0000","USD","511,087","3,201.30 USD","+109,606","+27.30"
"投資信託","","楽天・全米株式インデックス・ファンド(楽天・VTI)","特定","152,433","口","19,680.78","円","38,419","円","","","+855","円","585,632","-","+285,632","+95.21"
"投資信託","","アライアンス・バーンスタイン・米国成長株投信Dコース毎月決算型(為替ヘッジなし)予想分配金提示型","特定","7,465","口","10,727.39","円","9,818","円","","","+251","円","7,329","-","-679","-8.47"
"投資信託","","eMAXIS Slim 米国株式(S&P500)","特定","1,761,286","口","22,171.30","円","38,027","円","","","+844","円","6,697,642","-","+2,792,642","+71.51"
"外貨預り金","","米ドル","-","1.31","USD","-","-","159.65","円/USD","","","-","-","209.00","-","-","-"


"■参考為替レート"

"米ドル","159.65","円/USD","(04/02  19:20)"
"ユーロ","183.86","円/EUR","(04/02  19:20)"
"イギリスポンド","210.59","円/GBP","(04/02  19:20)"
"オーストラリアドル","109.63","円/AUD","(04/02  19:20)"
"ニュージーランドドル","91.12","円/NZD","(04/02  19:20)"
"カナダドル","114.67","円/CAD","(04/02  19:20)"
"トルコリラ","3.58","円/TRY","(04/02  19:20)"
"南アフリカランド","9.39","円/ZAR","(04/02  19:20)"
"ロシアルーブル","1.98","円/RUB","(04/02  19:20)"
"メキシコペソ","8.89","円/MXN","(04/02  19:20)"
